[2026-07-15 16:09:37] Initialized 27 file hashes in whitelist
[2026-07-15 16:09:37] WMI monitoring skipped (non-admin), using polling mode only
[2026-07-15 16:19:08] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:19:09] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:19:12] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:19:12] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:19:15] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:19:15] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:19:18] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:19:18] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:19:21] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:19:21] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:19:24] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:19:24] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:19:27] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:19:53] Initialized 27 file hashes in whitelist
[2026-07-15 16:19:54] WMI monitoring skipped (non-admin), using polling mode only
[2026-07-15 17:08:35] Initialized 27 file hashes in whitelist
[2026-07-15 17:08:35] WMI monitoring skipped (non-admin), using polling mode only
[2026-07-15 17:09:29] RecheckFileIntegrity: tampering detected WpfExecutable (expected=77495b88, actual=e3955180)
[2026-07-15 17:09:32] RecheckFileIntegrity: tampering detected WpfExecutable (expected=77495b88, actual=e3955180)
[2026-07-15 17:09:35] RecheckFileIntegrity: tampering detected WpfExecutable (expected=77495b88, actual=e3955180)
[2026-07-15 17:09:38] RecheckFileIntegrity: tampering detected WpfExecutable (expected=77495b88, actual=e3955180)
[2026-07-15 17:09:41] RecheckFileIntegrity: tampering detected WpfExecutable (expected=77495b88, actual=e3955180)
[2026-07-15 17:09:44] RecheckFileIntegrity: tampering detected WpfExecutable (expected=77495b88, actual=e3955180)
[2026-07-15 17:09:47] RecheckFileIntegrity: tampering detected WpfExecutable (expected=77495b88, actual=e3955180)
[2026-07-15 17:09:50] RecheckFileIntegrity: tampering detected WpfExecutable (expected=77495b88, actual=e3955180)
[2026-07-15 17:09:53] RecheckFileIntegrity: tampering detected WpfExecutable (expected=77495b88, actual=e3955180)
[2026-07-15 17:09:58] Initialized 27 file hashes in whitelist
[2026-07-15 17:09:58] WMI monitoring skipped (non-admin), using polling mode only
[2026-07-15 17:16:37] Initialized 27 file hashes in whitelist
[2026-07-15 17:16:37] WMI monitoring skipped (non-admin), using polling mode only
[2026-07-15 17:17:40] Initialized 27 file hashes in whitelist
[2026-07-15 17:17:40] WMI monitoring skipped (non-admin), using polling mode only
[2026-07-15 17:18:48] Initialized 27 file hashes in whitelist
[2026-07-15 17:18:48] WMI monitoring skipped (non-admin), using polling mode only
[2026-07-15 17:19:03] RecheckFileIntegrity: missing file WpfExecutable (G:\PowerShellBat\AURORA-Analyzer\AURORA-Analyzer-Factory-Dev\AURORA-Analyzer-Factory\AURORA.Wpf\bin\Debug\net48\AURORA.Wpf.exe)
[2026-07-15 17:19:06] RecheckFileIntegrity: tampering detected WpfExecutable (expected=e3955180, actual=1bc4331d)
[2026-07-15 17:19:09] RecheckFileIntegrity: tampering detected WpfExecutable (expected=e3955180, actual=1bc4331d)
[2026-07-15 17:19:12] RecheckFileIntegrity: tampering detected WpfExecutable (expected=e3955180, actual=1bc4331d)
[2026-07-15 17:19:21] Initialized 27 file hashes in whitelist
[2026-07-15 17:19:21] WMI real-time process monitoring started (zero-delay)
[2026-07-15 17:24:11] Initialized 27 file hashes in whitelist
[2026-07-15 17:24:11] WMI monitoring skipped (non-admin), using polling mode only
[2026-07-15 17:27:08] Initialized 27 file hashes in whitelist
[2026-07-15 17:27:08] WMI real-time process monitoring started (zero-delay)
